Name,Age,Hometown,Home country,Boarded,Destination,Lifeboat,Body
"Andersen-Jensen, Miss Carla Christine",19,Eskilstrup,Denmark,Southampton,"Portland, Oregon, US",16,
"Andersson, Mr. Anders Johan",39,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,
"Andersson, Mrs. Alfrida Konstantia (née Brogren)",39,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,
"Andersson, Miss Sigrid Elisabeth",11,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,
"Andersson, Miss Ingeborg Constanzia",9,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,
"Andersson, Miss Ebba Iris Alfrida",6,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,
"Andersson, Master Sigvard Harald Elias",4,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,
"Andersson, Miss Ellis Anna Maria",2,"Kisa, Östergötland",Sweden,Southampton,"Winnipeg, Manitoba, Canada",,
"Andersson, Miss Erna Alexandra",17,Ruotsinpyhtää,Finland,Southampton,New York City,D,
"Andersson, Miss Ida Augusta Margareta",38,"Vadsbro, Sörmland",Sweden,Southampton,"Manistee, Michigan, US",,
"Andersson, Mr. Johan Samuel",26,"Hartford, Connecticut",US,Southampton,"Hartford, Connecticut, US",,
"Andreasson, Mr. Paul Edvin",20,"Kalfsnäs, Småland",Sweden,Southampton,"Chicago, Illinois, US",,
"Angheloff, Mr. Minko",26,"Terziysko, Troyan",Bulgaria,Southampton,"Chicago, Illinois, US",,
"Arnold-Franchi, Mr. Josef",25,"Altdorf, Uri",Switzerland,Southampton,"New Glarus, Wisconsin, US",,
"Arnold-Franchi, Mrs. Josefine (née Franchi)",18,"Altdorf, Uri",Switzerland,Southampton,"New Glarus, Wisconsin, US",,
"Aronsson, Mr. Ernst Axel Algot",24,"Horset, Småland",Sweden,Southampton,"Joliet, Illinois, US",,
"Asim, Mr. Adola",35,Buenos Aires,Argentina,Southampton,New York City,,
"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",40,"Alseda, Småland",Sweden,Southampton,"Worcester, Massachusetts, US",,142MB
"Asplund, Mrs. Selma Augusta Emilia (née Johansson)",38,"Alseda, Småland",Sweden,Southampton,"Worcester, Massachusetts, US",15,
"Asplund, Master Filip Oscar",13,"Alseda, Småland",Sweden,Southampton,"Worcester, Massachusetts, US",,
"Asplund, Master Clarence Gustaf Hugo",9,"Alseda, Småland",Sweden,Southampton,"Worcester, Massachusetts, US",,
"Asplund, Master Carl Edgar",5,"Alseda, Småland",Sweden,Southampton,"Worcester, Massachusetts, US",,
"Asplund, Miss Lillian Gertrud",5,"Alseda, Småland",Sweden,Southampton,"Worcester, Massachusetts, US",15,
"Asplund, Master Edvin Rojj Felix",3,"Alseda, Småland",Sweden,Southampton,"Worcester, Massachusetts, US",15,
"Asplund, Mr. Johan Charles",23,"Oskarshamn, Kalmar",Sweden,Southampton,"Minneapolis, Minnesota, US",13,
"Assaf, Mrs. Mariyam (née Khalil)",45,Kafr Mishki,Lebanon,Cherbourg,"Ottawa, Ontario, Canada",C,
"Assam, Mr. Ali",23,Buenos Aires,Argentina,Southampton,New York City,,
"Attala, Mr. Sleiman",30,"Ottawa, Ontario",Canada,Cherbourg,"Ottawa, Ontario, Canada",,
"Atta Allah, Miss Malakah",17,Beirut,Lebanon,Cherbourg,New York City,,
"Augustsson, Mr. Albert",23,"Krakoryd, Småland",Sweden,Southampton,"Bloomington, Indiana, US",,
"Ayyub Dahir, Miss Bannurah",15,Beirut,Lebanon,Cherbourg,"Owen Sound, Ontario, Canada",C,
"Bakus, Mr. Raful",20,Unknown,Lebanon,Cherbourg,New York City,,
"Backström, Mr. Karl Alfred",32,Kotka,Finland,Southampton,New York City,,
"Backström, Mrs. Maria Mathilda (née Gustafsson)[65][83]",33,Kotka,Finland,Southampton,New York City,D,
"Badman, Miss Emily Louisa",18,"Clevedon, North Somerset",England,Southampton,"Skaneateles, New York, US",C,
"Badt, Mr. Mohamed",40,Tripoli,Lebanon,Cherbourg,New York City,,
"Bakić, Mr. Kerim",26,Bosanska Krupa,Bosnia,Southampton,"Harrisburg, Pennsylvania, US",,
"Banski, Mrs. Mara (née Osman)",31,Vagovina,Croatia,Southampton,"Steelton, Pennsylvania, US",?,
"Baqlini, Mrs. Mariyam Latifa (née Qurban)",24,Ḑuhūr ash Shuwayr,Lebanon,Cherbourg,"Brooklyn, New York, US",C,
"Baqlini, Miss Mariya Katarin",5,Ḑuhūr ash Shuwayr,Lebanon,Cherbourg,"Brooklyn, New York, US",C,
"Baqlini, Miss Eujini",4,Ḑuhūr ash Shuwayr,Lebanon,Cherbourg,"Brooklyn, New York, US",C,
"Baqlini, Miss Hileni Barbarah",9 mo.,Ḑuhūr ash Shuwayr,Lebanon,Cherbourg,"Brooklyn, New York, US",C,
"Barbarah, Mrs. Katarin Dawud",45,Kafr Mishki,Lebanon,Cherbourg,"Ottawa, Ontario, Canada",,
"Barbarah, Miss Saidah",18,Kafr Mishki,Lebanon,Cherbourg,"Ottawa, Ontario, Canada",,
"Barry, Miss Julia",26,"New York City, New York",US,Queenstown,New York City,,
"Barton, Mr. David John",22,"Cambridge, Cambridgeshire",England,Southampton,New York City,,
"Beavan, Mr. William Thomas",18,"Fillingham, Lincolnshire",England,Southampton,"Russell, US",,
"Bengtsson, Mr. Johan Viktor",26,"Fridhemsberg, Halland",Sweden,Southampton,"Monee, Illinois, US",,
"Berglund, Mr. Karl Ivar Sven",22,Firtby,Finland,Southampton,New York City,,
"Betros, Mr. Tannous",20,Zgharta,Lebanon,Cherbourg,"Waterbury, Connecticut, US",,
"Birkeland, Mr. Hans Martin Monsen",21,Bremnes,Norway,Southampton,New York City,,
"Björklund, Mr. Ernst Herbert",18,Stockholm,Sweden,Southampton,New York City,,
"Bostandyeff, Mr. Guentcho",26,Unknown,Bulgaria,Southampton,"Chicago, Illinois, US",,
"Bourke, Mr. John",42,"Carrowskehine, Mayo",Ireland,Queenstown,"Chicago, Illinois, US",,
"Bourke, Mrs. Catherine (née McHugh)",32,"Carrowskehine, Mayo",Ireland,Queenstown,"Chicago, Illinois, US",,
"Bourke, Miss Mary",40,"Carrowskehine, Mayo",Ireland,Queenstown,"Chicago, Illinois, US",,
"Bowen, Mr. David John ""Dai""",20,"Treherbert, Glamorgan",Wales,Southampton,New York City,,
"Bradley, Miss Bridget Delia",22,"Kingwilliamstown, Cork",Ireland,Queenstown,"Glen Falls, New York, US",13,
"Braf, Miss Elin Ester Maria",20,"Medeltorp, Småland",Sweden,Southampton,"Chicago, Illinois, US",,
"Braund, Mr. Lewis Richard",29,"Bridgerule, Devon",England,Southampton,"Qu'Appelle Valley, Saskatchewan, Canada",,
"Braund, Mr. Owen Harris",22,"Bridgerule, Devon",England,Southampton,"Qu'Appelle Valley, Saskatchewan, Canada",,
"Brobeck, Mr. Karl Rudolf",22,"Norrköping, Östergötland",Sweden,Southampton,"Worcester, Massachusetts, US",,
"Brocklebank, Mr. William Alfred",35,"Broomfield, Essex",England,Southampton,New York City,,
"Buckley, Mr. Daniel",21,"Kingwilliamstown, Cork",Ireland,Queenstown,New York City,13,
"Buckley, Miss Catherine",22,"Ovens, Cork",Ireland,Queenstown,"Roxbury, Massachusetts, US",,299MB
"Bulus, Mrs. Sultanah (née Rizq)",40,Unknown,Lebanon,Cherbourg,"Kent, British Columbia, Canada",,
"Bulus, Master Akar",9,Unknown,Lebanon,Cherbourg,"Kent, British Columbia, Canada",,
"Bulus, Miss Nur-al-Ayn",7,Unknown,Lebanon,Cherbourg,"Kent, British Columbia, Canada",,
"Burke, Mr. Jeremiah",19,"Glanmire, Cork",Ireland,Queenstown,"Charlestown, US",,
"Burns, Miss Mary Delia",17,"Kilmacowen, Sligo",Ireland,Queenstown,New York City,,
"Butrus-Youssef, Mrs. Katarin (née Rizk)",24,Sar'al[84],Syria[84],Cherbourg,"Detroit, Michigan, US",C,
"Butrus-Youssef, Master Makhkhul",4,Sar'al[84],Syria[84],Cherbourg,"Detroit, Michigan, US",D,
"Butrus-Youssef, Miss Marianna",2,Sar'al[84],Syria[84],Cherbourg,"Detroit, Michigan, US",C,
"Čačić, Mr. Jego Grga",18,Široka Kula,Croatia,Southampton,"Chicago, Illinois, US",,
"Čačić, Mr. Luka",38,Široka Kula,Croatia,Southampton,"Chicago, Illinois, US",,
"Čačić, Miss Marija",30,Široka Kula,Croatia,Southampton,"Chicago, Illinois, US",,
"Čačić, Miss Manda",21,Široka Kula,Croatia,Southampton,"Chicago, Illinois, US",,
"Čalić, Mr. Jovo",17,Brezik,Croatia,Southampton,"Sault Ste. Marie, Michigan, US",,
"Čalić, Mr. Petar",17,Brezik,Croatia,Southampton,"Sault Ste. Marie, Michigan, US",,
"Canavan, Miss Mary",22,"Tonacrick, Clare",Ireland,Queenstown,"Philadelphia, Pennsylvania, US",,
"Canavan, Mr. Patrick ""Peter""",21,"Knockmaria, Mayo",Ireland,Queenstown,"Philadelphia, Pennsylvania, US",,
"Cann, Mr. Ernest Charles",21,"Penwithick, Cornwall",England,Southampton,New York City,,
"Caram, Mr. Joseph",28,Kfar Mechi,Syria,Cherbourg,"Ottawa, Ontario, Canada",,28MB[85]
"Caram, Mrs. Maria (née Elias)",18,Kfar Mechi,Syria,Cherbourg,"Ottawa, Ontario, Canada",,
"Carlsson, Mr. Carl Robert",24,"Göteborg, Västergötland",Sweden,Southampton,"Huntley, Illinois, US",,
"Carlsson, Mr. August Sigfrid",24,"Dagsås, Halland",Sweden,Southampton,"Tower, Minnesota, US",,
"Carr, Miss Jane",47,"Aclare, Sligo",Ireland,Queenstown,"Hartford, Connecticut, US",,
"Carver, Mr. Alfred John",28,"Southampton, Hampshire",England,Southampton,New York City,,
"Celotti, Mr. Francesco",24,Milan[86],Italy,Southampton,,,
"Chang, Mr. Chip",32,Hong Kong,China,Southampton,New York City,C,
"Charters, Mr. David",28,"Ballinalee, Longford",Ireland,Queenstown,New York City,,
"Cheong, Mr. Foo",32,Hong Kong,China,Southampton,New York City,C,
"Christmann, Mr. Emil",29,London,England,Southampton,New York City,,
"Chronopoulos, Mr. Apostolos",26,"Agios Sostis, Peloponnese",Greece,Cherbourg,New York City,,
"Chronopoulos, Mr. Dimitrios",18,"Agios Sostis, Peloponnese",Greece,Cherbourg,New York City,,
"Coelho, Mr. Domingos Fernandes",20,"Funchal, Madeira Islands",Portugal,Southampton,New York City,,
"Cohen, Mr. Gershon ""Gus""",18,London,England,Southampton,"Brooklyn, New York, US",12,
"Colbert, Mr. Patrick",24,"Kilkinlea, Limerick",Ireland,Queenstown,"Sherbrooke, Quebec, Canada",,
"Coleff, Mr. Fotio",24,"Debnevo, Troyan",Bulgaria,Southampton,"Chicago, Illinois, US",,
"Coltcheff, Mr. Peju",36,"Gumostnik, Lovec",Bulgaria,Southampton,"Chicago, Illinois, US",,
"Conlon, Mr. Thomas Henry",31,"Philadelphia, Pennsylvania",US,Queenstown,"Philadelphia, Pennsylvania, US",,
"Connaghton, Mr. Michael",31,"Brooklyn, New York",US,Queenstown,"Brooklyn, New York, US",,
"Connolly, Miss Catherine ""Kate""",35,"Bank Place, Tipperary",Ireland,Queenstown,"Dobbs Ferry, New York, US",,
"Connolly, Miss Katherine ""Kate""",22,"Cortrasna, Cavan",Ireland,Queenstown,New York City,13,
"Connors, Mr. Patrick John",61,"Charleville, Cork",Ireland,Queenstown,New York City,,171MB
"Cook, Mr. Jacob(Kukk, Mr. Jakob?)",43,Unknown(Estonia?),Russia(Estonia?),Southampton,New York City,,
"Čor, Mr. Bartol",35,Kricina,Croatia,Southampton,"Great Falls, Montana, US",,
"Čor, Mr. Ivan",27,Kricina,Croatia,Southampton,"Great Falls, Montana, US",,
"Čor, Mr. Liudevit",19,Kricina,Croatia,Southampton,"Great Falls, Montana, US",,
"Corn, Mr. Henry ""Harry""",30,London,England,Southampton,New York City,,
"Corr, Miss Helen",16,"Corglass, Longford",Ireland,Queenstown,New York City,16,
"Coutts, Mrs. Mary Winnie (née Trainer)",36,London,England,Southampton,"Brooklyn, New York, US",2,
"Coutts, Master William Loch ""Willie""",9,London,England,Southampton,"Brooklyn, New York, US",2,
"Coutts, Master Neville Leslie",3,London,England,Southampton,"Brooklyn, New York, US",2,
"Coxon, Mr. Daniel",59,London,England,Southampton,"Merrill, Wisconsin, US",,
"Crease, Mr. Ernest James",19,"Bristol, Avon",England,Southampton,"Cleveland, Ohio, US",,
"Cribb, Mr. John Hatfield",44,"Bournemouth, Dorset",England,Southampton,"Newark, New Jersey, US",,
"Cribb, Miss Laura Mae",16,"Bournemouth, Dorset",England,Southampton,"Newark, New Jersey, US",12,
"Čulumović, Mr. Jeso",17,Lipova Glavica,Croatia,Southampton,"Hammond, Indiana, US",,
"Dahir, Mr. Tannous",28,Beirut,Lebanon,Cherbourg,"Youngstown, Ohio, US",,
"Dahl, Mr. Charles Edwart",45,"Adelaide, South Australia",Australia,Southampton,"Fingal, North Dakota, US",15,
"Dahlberg, Miss Gerda Ulrika",22,Stockholm,Sweden,Southampton,"Chicago, Illinois, US",,
"Dakić, Mr. Branko",19,Gornji Miholjac,Croatia,Southampton,New York City,,
"Daly, Miss Margaret ""Maggie""",30,"Athlone, Westmeath",Ireland,Queenstown,New York City,15,
"Daly, Mr. Eugene Patrick",29,"Athlone, Westmeath",Ireland,Queenstown,New York City,B,
"Danbom, Mr. Ernst Gilbert",34,"Göteborg, Västergötland",Sweden,Southampton,"Stanton, Iowa, US",,197MB
"Danbom, Mrs. Anna Sigrid Maria (née Brogren)",28,"Göteborg, Västergötland",Sweden,Southampton,"Stanton, Iowa, US",,
"Danbom, Master Gilbert Sigvard Emanuel",4 mo.,"Göteborg, Västergötland",Sweden,Southampton,"Stanton, Iowa, US",,
"Danoff, Mr. Yoto",27,Unknown,Bulgaria,Southampton,"Chicago, Illinois, US",,
"Dantcheff, Mr. Ristju",25,"Terziysko, Troyan",Bulgaria,Southampton,"Chicago, Illinois, US",,
"Davies, Mr. Evan",22,"Pontardawe, West Glamorgan",Wales,Southampton,"Pontiac, Michigan, US",,
"Davies, Mr. Alfred John",24,"West Bromwich, Staffordshire",England,Southampton,"Pontiac, Michigan, US",,
"Davies, Mr. John Samuel",21,"West Bromwich, Staffordshire",England,Southampton,"Pontiac, Michigan, US",,
"Davies, Mr. Joseph",17,"West Bromwich, Staffordshire",England,Southampton,"Pontiac, Michigan, US",,
"Davison, Mr. Thomas Henry ""Harry""",32,"Liverpool, Merseyside",England,Southampton,"Bedford, Indiana, US",,
"Davison, Mrs. Mary Elizabeth",34,"Liverpool, Merseyside",England,Southampson,"Bedford, Indiana, US",16,
"De Messemaeker, Mr. Guillaume Joseph",36,"Tampico, Montana",US,Southampton,"Tampico, Montana, US",15,
"De Messemaeker, Mrs. Anna (née de Becker)",36,"Tampico, Montana",US,Southampton,"Tampico, Montana, US",13,
"de Mulder, Mr. Theodoor",36,"Aspelare, East Flanders",Belgium,Southampton,"Detroit, Michigan, US",11,
"de Pelsmaeker, Mr. Alfons",16,"Heldergem, Haaltert, East Flanders",Belgium,Southampton,"Gladstone, Michigan, US",,
"Dean, Mr. Bertram Frank",25,"Bartley Farm, Hampshire",England,Southampton,"Wichita, Kansas, US",,
"Dean, Mrs. Eva Georgetta (née Light)",32,"Bartley Farm, Hampshire",England,Southampton,"Wichita, Kansas, US",10,
"Dean, Master Bertram Vere",1,"Bartley Farm, Hampshire",England,Southampton,"Wichita, Kansas, US",10,
"Dean, Miss Elizabeth Gladys ""Millvina""",2 mo.,"Bartley Farm, Hampshire",England,Southampton,"Wichita, Kansas, US",10,
"Delalić, Mr. Redjo",25,Bakić,Bosnia,Southampton,"Harrisburg, Pennsylvania, US",,
"Denkoff, Mr. Mitto",30,Unknown,Bulgaria,Southampton,"Coon Rapids, Iowa, US",,
"Dennis, Mr. William",26,"Week St Mary, Cornwall",England,Southampton,"Saskatoon, Saskatchewan, Canada",,
"Dennis, Mr. Samuel",22,"Week St Mary, Cornwall",England,Southampton,"Saskatoon, Saskatchewan, Canada",
"Devaney, Miss Margaret Delia",19,"Kilmacowen, Sligo",Ireland,Queenstown,New York City,C,
"Dika, Mr. Mirko",17,Podgora,Croatia,Southampton,"Vancouver, British Columbia, Canada",,
"Dimić, Mr. Jovan",42,Ostrovica,Croatia,Southampton,"Red Lodge, Montana, US",,
"Dintcheff, Mr. Valtcho",43,Unknown,Bulgaria,Southampton,"Tulsa, Oklahoma, US",,
"Donohoe, Miss Bridget",21,"Cum, Mayo",Ireland,Queenstown,"Chicago, Illinois, US",,
"Dooley, Mr. Patrick J.",43,"Patrickswell, Limerick",Ireland,Queenstown,New York City,,
"Dorking, Mr. Edward Arthur",18,"Liss, Hampshire",England,Southampton,"Oglesby, Illinois, US",B,
"Doherty, Mr. William John (aka ""James Moran"")",22,Cork,Ireland,Queenstown,New York City,,
"Dowdell, Miss Elizabeth",31,"New York City, New York",US,Southampton,New York City,13,
"Doyle, Miss Elizabeth",24,"Bree, Wexford",Ireland,Queenstown,New York City,,
"Draženović, Mr. Jozef",33,Hrastelnica,Croatia,Cherbourg,New York City,,51MB
"Dropkin, Miss Jennie",24,Mogilev,Belarus,Southampton,New York City,13,
"Duquemin, Mr. Joseph Pierre",19,"Saint Sampson, Guernsey, Channel Islands",England,Southampton,"Albion, New York, US",D,
"Dwan, Mr. Frank",65,"Bunmahon, Waterford",Ireland,Queenstown,"Morris Plains, New Jersey, US",,
"Dyker, Mr. Adolf Fredrik",23,"New Haven, Connecticut",US,Southampton,"New Haven, Connecticut, US",,
"Dyker, Mrs. Anna Elisabeth Judith (née Andersson)",22,"New Haven, Connecticut",US,Southampton,"New Haven, Connecticut, US",16,
"Edvardsson, Mr. Gustaf Hjalmar",18,"Tofta, Uppland",Sweden,Southampton,"Joliet, Illinois, US",,
"Eklund, Mr. Hans Linus",16,"Kårberg, Örebro",Sweden,Southampton,"Jerome Junction, Arizona, US",,
"Ekström, Mr. Johan",45,"Effington Rut, South Dakota",US,Southampton,"Effington Rut, South Dakota, US",,
"Elias, Mr. Dibo",29,Unknown,Lebanon,Cherbourg,New York City,,
"Elias, Mr. Joseph Jr.",15,Kafr Mishki,Lebanon,Cherbourg,"Ottawa, Ontario, Canada",,
"Elias Nasrallah, Mr. Tannous",17,Kafr Mishki,Lebanon,Cherbourg,"Ottawa, Ontario, Canada",,
"Elsbury, Mr. William James",47,"Taunton, Somerset",England,Southampton,"Gurnee, Illinois, US",,
"Emanuel, Miss Virginia Ethel",6,"New York City, New York",US,Southampton,New York City,13,
"Estanislau, Mr. Manuel Gonçalves",37,"Calheta, Madeira",Portugal,Southampton,New York City,,
"Everett, Mr. Thomas James",39,"Bristol, Avon",England,Southampton,"Troy, New York, US",,187MB
"Fardon, Mr. Charles R.(alias Charles Franklin)",38,"Wellingborough, Northamptonshire",England,Cherbourg,Canada,,
"Farrell, Mr. James ""Jim""",25,"Killoe, Longford",Ireland,Queenstown,New York City,,68MB
"Finoli, Mr. Luigi",34,"Philadelphia, Pennsylvania",US,Southampton,"Philadelphia, Pennsylvania, US",15,
"Fischer, Mr. Eberhard Thelander",18,"Björkeberga, Skåne",Sweden,Southampton,New York City,,
"Fleming, Miss Honora ""Nora""",22,"Carrowskehine, Mayo",Ireland,Queenstown,New York City,,
"Flynn, Mr. James",28,"Cuilkillew, Mayo",Ireland,Queenstown,New York City,,
"Flynn, Mr. John",42,"Clonbur, Galway",Ireland,Queenstown,"Pittsburgh, Pennsylvania, US",,
"Foley, Mr. Joseph",19,"Broadford, Limerick",Ireland,Queenstown,"Larchmont, New York, US",,
"Foley, Mr. William",20,"Donoughmore, Cork",Ireland,Queenstown,New York City,,
"Ford, Mr. Arthur",22,"Bridgwater, Somerset",England,Southampton,"Elmira, New York, US",,
"Ford, Mrs. Margaret Ann (née Watson)",48,"Rotherfield, East Sussex",England,Southampton,"Essex County, New Jersey, US",,
"Ford, Miss Dollina Margaret",20,"Rotherfield, East Sussex",England,Southampton,"Essex County, New Jersey, US",,
"Ford, Mr. Edward Watson",18,"Rotherfield, East Sussex",England,Southampton,"Essex County, New Jersey, US",,
"Ford, Mr. William Neal Thomas",16,"Rotherfield, East Sussex",England,Southampton,"Essex County, New Jersey, US",,
"Ford, Miss Robina Maggie",7,"Rotherfield, East Sussex",England,Southampton,"Essex County, New Jersey, US",,
"Fox, Mr. Patrick",28,"Mullingar, Westmeath",Ireland,Queenstown,New York City,,
"Gallagher, Mr. Martin",29,"Caltra, Galway",Ireland,Queenstown,New York City,,
"Garfirth, Mr. John",21,"Wollaston, Northamptonshire",England,Southampton,"Kitchener, Ontario, Canada",,
"Gerios Thamah, Mr. Assaf",21,Kafr Mishki,Lebanon,Cherbourg,"Ottawa, Ontario, Canada",,
"Gheorgheff, Mr. Stanio",–,Unknown,Bulgaria,Cherbourg,"Butte, Montana, US",,
"Gilinski, Mr. Eliezer",22,"Abercynon, Glamorgan",Wales,Southampton,"Chicago, Illinois, US",,47MB
"Gilnagh, Miss Mary Katherine ""Katie""",17,"Esker, Longford",Ireland,Queenstown,New York City,16,
"Glynn, Miss Mary Agatha",19,"Killaloe, Clare",Ireland,Queenstown,"Washington, DC, US",13,
"Goldsmith, Mr. Frank John",33,"Strood, Kent",England,Southampton,"Detroit, Michigan, US",,
"Goldsmith, Mrs. Emily Alice (née Brown)",31,"Strood, Kent",England,Southampton,"Detroit, Michigan, US",C,
"Goldsmith, Master Frank John William",9,"Strood, Kent",England,Southampton,"Detroit, Michigan, US",C,
"Goldsmith, Mr. Nathan",41,Unknown,Russia,Southampton,"Philadelphia, Pennsylvania, US",,
"Goodwin, Mr. Frederick Joseph",42,Fulham,England,Southampton,"Niagara Falls, New York, US",,
"Goodwin, Mrs. Augusta (née Tyler)",43,Fulham,England,Southampton,"Niagara Falls, New York, US",,
"Goodwin, Miss Lillian Amy",16,Fulham,England,Southampton,"Niagara Falls, New York, US",,
"Goodwin, Mr. Charles Edward",14,Fulham,England,Southampton,"Niagara Falls, New York, US",,
"Goodwin, Master William Frederick",13,Fulham,England,Southampton,"Niagara Falls, New York, US",,
"Goodwin, Miss Jessie Allis Mary",12,Fulham,England,Southampton,"Niagara Falls, New York, US",,
"Goodwin, Master Harold Victor",10,Fulham,England,Southampton,"Niagara Falls, New York, US",,
"Goodwin, Master Sidney Leslie",1,Fulham,England,Southampton,"Niagara Falls, New York, US",,4MB[87]
"Green, Mr. George Henry",40,"Dorking, Surrey",England,Southampton,"Lead, South Dakota, US",,
"Grønnestad, Mr. Daniel Danielsen",32,Bokn,Norway,Southampton,"Portland, North Dakota, US",,
"Guest, Mr. Robert",32,London,England,Southampton,"Clinton, New York, US",,
"Gustafsson, Mr. Alfred Ossian",19,Kokkola,Finland,Southampton,"Waukegan, Illinois, US",,
"Gustafsson, Mr. Anders Vilhelm",37,Ruotsinpyhtää,Finland,Southampton,New York City,,98MB
"Gustafsson, Mr. Johan Birger",28,Ruotsinpyhtää,Finland,Southampton,New York City,,
"Gustafsson, Mr. Karl Gideon",19,"Myren, Synnerby, Västergötland",Sweden,Southampton,"Aberdeen, South Dakota, US",,
"Haas, Miss Aloisia",24,"Altdorf, Uri",Switzerland,Southampton,"Chicago, Illinois, US",,
"Hagland, Mr. Ingvald Olai Olsen",28,"Skåre, Haugesund",Norway,Southampton,"Belmar, New Jersey, US",,
"Hagland, Mr. Konrad Mathias Reiersen",19,"Skåre, Haugesund",Norway,Southampton,"Belmar, New Jersey, US",,
"Hakkarainen, Mr Pekka Pietari",28,Helsinki,Finland,Southampton,"Monessen, Pennsylvania, US",,
"Hakkarainen, Mrs. Elin Matilda (née Dolck)",24,Helsinki,Finland,Southampton,"Monessen, Pennsylvania, US",15,
"Hampe, Mr. Léon Jérome",19,Westrozebeke,Belgium,Southampton,"Detroit, Michigan, US",,
"Hanna, Mr. Borak Suleiman",27,Hardîne,Lebanon,Cherbourg,"Wilkes-Barre, Pennsylvania, US",15,
"Hanna, Mr. Bulus",18,Kfar Mechi,Syria,Cherbourg,"Ottawa, Ontario, Canada",,
"Hanna, Mr. Mansur",35,Kfar Mechi,Syria,Cherbourg,"Ottawa, Ontario, Canada",,188MB
"Hansen, Mr. Claus Peter",41,"Racine, Wisconsin",US,Southampton,"Racine, Wisconsin, US",,
"Hansen, Mrs. Jennie Louise (née Howard)",45,"Racine, Wisconsin",US,Southampton,"Racine, Wisconsin, US",11,
"Hansen, Mr. Henrik Juul",26,"Holeby, Storstrøm",Denmark,Southampton,"Racine, Wisconsin, US",,
"Hansen, Mr. Henry Damsgaard",21,Copenhagen,Denmark,Southampton,"Racine, Wisconsin, US",,69MB
"Hargadon, Miss Catherine ""Kate""",17,"Ballysadare, Sligo",Ireland,Queenstown,New York City,,
"Harknett, Miss Alice Phoebe",21,"Thornton Heath, London",England,Southampton,"New London, Connecticut, US",,
"Hart, Mr. Henry John",27,"Ballysadare, Sligo",Ireland,Queenstown,"Boston, Massachusetts, US",,
"Healy, Miss Hanora (Nora)",29,"Athenry, Galway",Ireland,Queenstown,New York City,16,
